URL: /
Timestamp: Fri Mar 24 2023 19:29:37 GMT-0400 (Eastern Daylight Time)
::1 - - [02/Apr/2023:20:03:54 +0000] "GET /movies/title HTTP/1.1" 200 -
::1 - - [02/Apr/2023:20:04:04 +0000] "GET /movies HTTP/1.1" 500 5
::1 - - [02/Apr/2023:20:35:40 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:20:38:00 +0000] "GET /movies/:title HTTP/1.1" 200 55
::1 - - [02/Apr/2023:20:40:08 +0000] "POST /movies HTTP/1.1" 404 146
::1 - - [02/Apr/2023:20:40:18 +0000] "PUT /movies HTTP/1.1" 404 145
::1 - - [02/Apr/2023:20:40:22 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:20:49:45 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:20:50:26 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:20:59:46 +0000] "GET / HTTP/1.1" 200 22
::1 - - [02/Apr/2023:20:59:52 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:21:01:32 +0000] "GET /movies HTTP/1.1" 200 51
::1 - - [02/Apr/2023:22:03:20 +0000] "GET /movies HTTP/1.1" 200 7608
::1 - - [02/Apr/2023:22:04:47 +0000] "GET /movies/:title HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:07:59 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:08:06 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:08:53 +0000] "GET /movies/Trading%20Places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:09:34 +0000] "GET /movies/Trading%20Places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:10:13 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:10:18 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:15:22 +0000] "GET /movies/:titleScarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:15:24 +0000] "GET /movies/:title%20Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:15:27 +0000] "GET /movies/:title/Scarface HTTP/1.1" 404 161
::1 - - [02/Apr/2023:22:15:40 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:17:32 +0000] "GET /movies/genre/crime HTTP/1.1" 500 5
::1 - - [02/Apr/2023:22:20:41 +0000] "GET /scarface HTTP/1.1" 404 147
::1 - - [02/Apr/2023:22:21:03 +0000] "GET /Scarface HTTP/1.1" 404 147
::1 - - [02/Apr/2023:22:21:31 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:22:02 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:22:06 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:22:29 +0000] "GET /movie/scarface HTTP/1.1" 404 153
::1 - - [02/Apr/2023:22:22:38 +0000] "GET /movie/Scarface HTTP/1.1" 404 153
::1 - - [02/Apr/2023:22:22:49 +0000] "GET /movie HTTP/1.1" 404 144
::1 - - [02/Apr/2023:22:22:51 +0000] "GET /movies HTTP/1.1" 200 7608
::1 - - [02/Apr/2023:22:23:41 +0000] "GET /movies/id:%201 HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:26:15 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:27:00 +0000] "GET /movies HTTP/1.1" 200 7608
::1 - - [02/Apr/2023:22:27:11 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:27:17 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:29:39 +0000] "GET /movies/Scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:30:00 +0000] "GET /movies/ HTTP/1.1" 200 7608
::1 - - [02/Apr/2023:22:35:08 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:35:20 +0000] "GET /movies/:title HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:35:29 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:36:45 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:37:10 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:37:22 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:42:32 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:44:25 +0000] "GET /movie/scarface HTTP/1.1" 404 153
::1 - - [02/Apr/2023:22:44:31 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:09 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:15 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:16 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:22 +0000] "GET / HTTP/1.1" 200 22
::1 - - [02/Apr/2023:22:48:28 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:41 +0000] "GET /movies/the%20daek%20knight HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:45 +0000] "GET /movies/the%20dark%20knight HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:54 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:58 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:49:16 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:49:39 +0000] "GET /movies/The%20Dark%20Knight HTTP/1.1" 200 726
::1 - - [02/Apr/2023:22:50:55 +0000] "GET /movies/Coming%20To%20America HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:51:02 +0000] "GET /movies/Coming%20to%20America HTTP/1.1" 200 740
::1 - - [02/Apr/2023:22:51:38 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:56:06 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:56:16 +0000] "GET /movies/Coming%20To%20America HTTP/1.1" 200 740
::1 - - [02/Apr/2023:22:57:27 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:57:38 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:57:59 +0000] "GET /movies/The%20Dark%20Knight HTTP/1.1" 200 726
::1 - - [02/Apr/2023:22:58:10 +0000] "GET /movies/The%20Dark%20Knight%20Rises HTTP/1.1" 200 704
::1 - - [02/Apr/2023:22:58:22 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:58:58 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:59:06 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:59:35 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:59:51 +0000] "GET /movies/Thor HTTP/1.1" 200 815
::1 - - [02/Apr/2023:23:00:04 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:23:02:02 +0000] "GET /movies/Genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:08:26 +0000] "GET /movies/genre HTTP/1.1" 400 13
::1 - - [02/Apr/2023:23:08:35 +0000] "GET /movies/Genre HTTP/1.1" 400 13
::1 - - [02/Apr/2023:23:10:31 +0000] "GET /movies/genre/action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:10:35 +0000] "GET /movies/genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:10:37 +0000] "GET /movies/genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:10:44 +0000] "GET /movies/Genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:11:41 +0000] "GET /movies/genre/action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:11:45 +0000] "GET /movies/genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:24:16 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [02/Apr/2023:23:25:12 +0000] "GET /movies/genre/Action HTTP/1.1" 200 172
::1 - - [02/Apr/2023:23:25:27 +0000] "GET /movies/genre/Crime HTTP/1.1" 200 147
::1 - - [02/Apr/2023:23:25:49 +0000] "GET /movies/genre/Comedy HTTP/1.1" 200 156
::1 - - [02/Apr/2023:23:28:02 +0000] "GET /movies/director/Paul%20McGuigan HTTP/1.1" 200 264
::1 - - [02/Apr/2023:23:28:56 +0000] "GET /movies/director/Brian%20De%20Palma HTTP/1.1" 200 248
::1 - - [02/Apr/2023:23:55:35 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [02/Apr/2023:23:55:43 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:23:55:49 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [03/Apr/2023:00:03:57 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:04:19 +0000] "GET /Users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:05:19 +0000] "POST /users HTTP/1.1" 404 145
::1 - - [03/Apr/2023:00:06:50 +0000] "POST /users HTTP/1.1" 404 145
::1 - - [03/Apr/2023:00:07:05 +0000] "POST /movies HTTP/1.1" 404 146
::1 - - [03/Apr/2023:00:08:01 +0000] "POST /movies HTTP/1.1" 404 146
::1 - - [03/Apr/2023:00:08:06 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [03/Apr/2023:00:08:21 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:13:58 +0000] "POST /Users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:15:40 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:18:53 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:19:04 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:19:13 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:22:31 +0000] "POST /users/Mike HTTP/1.1" 404 150
::1 - - [03/Apr/2023:00:22:42 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:22:46 +0000] "POST /users/Mike HTTP/1.1" 404 150
::1 - - [03/Apr/2023:00:24:17 +0000] "POST /users/Michael HTTP/1.1" 404 153
::1 - - [03/Apr/2023:00:24:23 +0000] "POST /users/Michael HTTP/1.1" 404 153
::1 - - [03/Apr/2023:00:25:12 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:25:19 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:25:23 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:26:22 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:00:35:10 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:35:13 +0000] "POST /user HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:35:17 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:35:23 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:35:31 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:35:39 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:35:45 +0000] "PUT /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:35:50 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:39:13 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:39:36 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:40:35 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:40:39 +0000] "POST /user HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:40:42 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:42:01 +0000] "POST /users HTTP/1.1" 500 5
::1 - - [03/Apr/2023:00:58:39 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [03/Apr/2023:00:58:45 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:58:52 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:58:59 +0000] "GET /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:00:59:10 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:00:59:52 +0000] "POST /users HTTP/1.1" 500 5
::1 - - [03/Apr/2023:01:00:08 +0000] "POST /users/id1 HTTP/1.1" 404 149
::1 - - [03/Apr/2023:01:00:12 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:01:00:19 +0000] "GET /users/1 HTTP/1.1" 404 146
::1 - - [03/Apr/2023:01:00:24 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:01:00:29 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:01:00:40 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:01:00:43 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:01:01:57 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:01:03:30 +0000] "POST /users/ HTTP/1.1" 400 18
::1 - - [03/Apr/2023:01:14:27 +0000] "POST /users HTTP/1.1" 201 79
::1 - - [03/Apr/2023:01:15:16 +0000] "POST /users HTTP/1.1" 201 79
::1 - - [03/Apr/2023:01:15:46 +0000] "POST /users HTTP/1.1" 201 82
::1 - - [03/Apr/2023:01:28:39 +0000] "PUT /users/1 HTTP/1.1" 201 61
::1 - - [03/Apr/2023:02:17:46 +0000] "POST /users/2/Coming%20To%20America HTTP/1.1" 201 34
::1 - - [03/Apr/2023:02:19:24 +0000] "POST /users/2/Coming%20To%20America HTTP/1.1" 201 34
::1 - - [03/Apr/2023:02:54:41 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:02:57:02 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:02:57:58 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:03:00:52 +0000] "PUT /users/1 HTTP/1.1" 201 59
::1 - - [03/Apr/2023:03:01:04 +0000] "PUT /users/1 HTTP/1.1" 201 60
::1 - - [03/Apr/2023:03:01:25 +0000] "PUT /users/1 HTTP/1.1" 201 59
::1 - - [03/Apr/2023:03:01:26 +0000] "PUT /users/1 HTTP/1.1" 201 59
::1 - - [03/Apr/2023:03:01:31 +0000] "PUT /users/2 HTTP/1.1" 201 98
::1 - - [03/Apr/2023:03:02:17 +0000] "PUT /users/3 HTTP/1.1" 201 99
::1 - - [03/Apr/2023:03:02:45 +0000] "PUT /users/2 HTTP/1.1" 201 98
::1 - - [03/Apr/2023:03:05:02 +0000] "DELETE /users/2/Coming%20To%20America HTTP/1.1" 201 37
::1 - - [03/Apr/2023:03:05:59 +0000] "PUT /users/2 HTTP/1.1" 201 59
::1 - - [03/Apr/2023:03:06:20 +0000] "PUT /users/2 HTTP/1.1" 201 59
::1 - - [03/Apr/2023:03:08:07 +0000] "DELETE /users/2 HTTP/1.1" 201 27
::1 - - [03/Apr/2023:03:14:40 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [03/Apr/2023:03:16:20 +0000] "GET /movies/:title HTTP/1.1" 400 13
::1 - - [03/Apr/2023:03:18:28 +0000] "GET /movies HTTP/1.1" 200 7538
::1 - - [03/Apr/2023:03:22:20 +0000] "GET /movies/:title HTTP/1.1" 400 13
::1 - - [03/Apr/2023:03:23:19 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [03/Apr/2023:03:24:47 +0000] "GET /movies/genre/Crime HTTP/1.1" 200 147
::1 - - [03/Apr/2023:03:26:34 +0000] "GET /movies/director/Brian%20De%20Palma HTTP/1.1" 200 248
::1 - - [03/Apr/2023:03:27:33 +0000] "POST /movies/users HTTP/1.1" 404 152
::1 - - [03/Apr/2023:03:27:41 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:32:47 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:33:25 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:33:50 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:34:30 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:35:12 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:39:59 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:03:40:15 +0000] "PUT /users/1 HTTP/1.1" 201 33
::1 - - [03/Apr/2023:03:41:35 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:42:28 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:03:42:51 +0000] "POST /users/1 HTTP/1.1" 404 147
::1 - - [03/Apr/2023:03:43:08 +0000] "PUT /users/1 HTTP/1.1" 201 33
::1 - - [03/Apr/2023:03:44:36 +0000] "POST /users/1/Thor HTTP/1.1" 201 34
::1 - - [03/Apr/2023:03:45:29 +0000] "DELETE /users/1/Thor HTTP/1.1" 201 37
::1 - - [03/Apr/2023:03:48:23 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:48:36 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:49:01 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:49:22 +0000] "POST /users HTTP/1.1" 400 18
::1 - - [03/Apr/2023:03:52:16 +0000] "POST /users HTTP/1.1" 201 80
::1 - - [03/Apr/2023:03:53:16 +0000] "POST /users HTTP/1.1" 201 79
::1 - - [03/Apr/2023:03:54:36 +0000] "PUT /users HTTP/1.1" 404 144
::1 - - [03/Apr/2023:03:54:51 +0000] "PUT /users/1 HTTP/1.1" 201 60
::1 - - [03/Apr/2023:04:13:21 +0000] "DELETE /users/1 HTTP/1.1" 201 27
